Participant,Image,Choice,RT,time_condition
Participant,Image,Response,RT,1s
A7,images/image_35.jpg,left,0.3413316999794915,5s
A8,images/image_1.jpg,left,0.8134107999503613,1s
A8,images/image_2.jpg,left,0.3307022000662982,1s
A8,images/image_3.jpg,left,0.4310900999698788,1s
A8,images/image_4.jpg,,1.0,1s
A8,images/image_5.jpg,left,0.4671955000376329,1s
A8,images/image_1.jpg,left,0.3552330000093207,5s
A8,images/image_2.jpg,left,0.2090963999507948,5s
A8,images/image_3.jpg,left,0.3248690000036731,5s
A8,images/image_4.jpg,left,0.453945399960503,5s
A8,images/image_5.jpg,left,0.3194656000705436,5s
A8,images/image_6.jpg,up,0.97632929997053,1s
A8,images/image_7.jpg,up,0.8950447000097483,1s
A8,images/image_8.jpg,up,0.3846107000717893,1s
A8,images/image_9.jpg,up,0.4075919999741018,1s
A8,images/image_10.jpg,up,0.3931354000233114,1s
A8,images/image_6.jpg,up,0.5131742000812665,5s
A8,images/image_7.jpg,up,0.5142475999891758,5s
A8,images/image_8.jpg,up,0.259510500007309,5s
A8,images/image_9.jpg,up,0.3223918000003323,5s
A8,images/image_10.jpg,left,0.3297710000770166,5s
A8,images/image_11.jpg,left,0.8052674001082778,1s
A8,images/image_12.jpg,left,0.3658757000230253,1s
A8,images/image_13.jpg,left,0.319652899983339,1s
A8,images/image_14.jpg,left,0.7370808999985456,1s
A8,images/image_15.jpg,up,0.6933981999754906,1s
A8,images/image_11.jpg,left,0.750493900035508,5s
A8,images/image_12.jpg,left,0.1532986999955028,5s
A8,images/image_13.jpg,left,0.0662552999565377,5s
A8,images/image_14.jpg,left,0.7434953999472782,5s
A8,images/image_15.jpg,up,0.1524458999047055,5s
A8,images/image_16.jpg,left,0.9532039000187068,1s
A8,images/image_17.jpg,,1.0,1s
A8,images/image_18.jpg,up,0.7456570999929681,1s
A8,images/image_19.jpg,,1.0,1s
A8,images/image_20.jpg,,1.0,1s
A8,images/image_16.jpg,up,1.182674999930896,5s
A8,images/image_17.jpg,left,0.8027649000287056,5s
A8,images/image_18.jpg,up,1.8337546000257132,5s
A8,images/image_19.jpg,left,1.0957696000114083,5s
A8,images/image_20.jpg,left,0.6885353999678046,5s
A8,images/image_21.jpg,,1.0,1s
A8,images/image_22.jpg,up,0.4744566000299528,1s
A8,images/image_23.jpg,up,0.3493413999676704,1s
