Participant,Image,Response,RT
A8,images/image_8.jpg,up,0.3846107000717893
A8,images/image_9.jpg,up,0.4075919999741018
A8,images/image_10.jpg,up,0.3931354000233114
A8,images/image_6.jpg,up,0.5131742000812665
A8,images/image_7.jpg,up,0.5142475999891758
A8,images/image_8.jpg,up,0.259510500007309
A8,images/image_9.jpg,up,0.3223918000003323
A8,images/image_10.jpg,left,0.3297710000770166
A8,images/image_11.jpg,left,0.8052674001082778
A8,images/image_12.jpg,left,0.3658757000230253
A8,images/image_13.jpg,left,0.319652899983339
A8,images/image_14.jpg,left,0.7370808999985456
A8,images/image_15.jpg,up,0.6933981999754906
A8,images/image_11.jpg,left,0.750493900035508
A8,images/image_12.jpg,left,0.1532986999955028
A8,images/image_13.jpg,left,0.0662552999565377
A8,images/image_14.jpg,left,0.7434953999472782
A8,images/image_15.jpg,up,0.1524458999047055
A8,images/image_16.jpg,left,0.9532039000187068
A8,images/image_17.jpg,,1.0
A8,images/image_18.jpg,up,0.7456570999929681
A8,images/image_19.jpg,,1.0
A8,images/image_20.jpg,,1.0
A8,images/image_16.jpg,up,1.182674999930896
A8,images/image_17.jpg,left,0.8027649000287056
A8,images/image_18.jpg,up,1.8337546000257132
A8,images/image_19.jpg,left,1.0957696000114083
A8,images/image_20.jpg,left,0.6885353999678046
A8,images/image_21.jpg,,1.0
A8,images/image_22.jpg,up,0.4744566000299528
A8,images/image_23.jpg,up,0.3493413999676704
A8,images/image_24.jpg,up,0.4163070999784395
A8,images/image_25.jpg,left,0.607947500073351
A8,images/image_21.jpg,up,0.4109975999454036
A8,images/image_22.jpg,up,0.1862578999716788
A8,images/image_23.jpg,up,0.2512537000002339
A8,images/image_24.jpg,up,0.3476724000647664
A8,images/image_25.jpg,left,0.1089892999734729
A8,images/image_26.jpg,up,0.8974501999327913
A8,images/image_27.jpg,up,0.3152622999623418
A8,images/image_28.jpg,left,0.70104309997987
A8,images/image_29.jpg,left,0.5453471000073478
A8,images/image_30.jpg,left,0.3580724999774247
A8,images/image_26.jpg,up,0.8995873000239953
A8,images/image_27.jpg,left,0.8077963000396267
A8,images/image_28.jpg,left,0.302682000095956
A8,images/image_29.jpg,left,0.2900853999890387
A8,images/image_30.jpg,left,0.3568940000841394
A8,images/image_31.jpg,left,0.5467040999792516
A8,images/image_32.jpg,left,0.166766699985601
A8,images/image_33.jpg,left,0.4035597000038251
A8,images/image_34.jpg,,1.0
A8,images/image_35.jpg,left,0.7011366999940947
A8,images/image_31.jpg,left,1.065168600063771
A8,images/image_32.jpg,up,1.8373538999585437
A8,images/image_33.jpg,left,0.645362599985674
A8,images/image_34.jpg,left,0.3481740000424906
A8,images/image_35.jpg,left,0.271997999981977
A9,images/image_1.jpg,,1.0
A9,images/image_2.jpg,up,0.2740144999697804
A9,images/image_3.jpg,left,0.6691573000280187
A9,images/image_4.jpg,up,0.2421268000034615
A9,images/image_5.jpg,left,0.2798536999616772
A9,images/image_1.jpg,left,0.3485314999707043
A9,images/image_2.jpg,up,0.5649358000373468
A9,images/image_3.jpg,left,1.582154699950479
A9,images/image_4.jpg,left,0.569585100049153
A9,images/image_5.jpg,left,0.4772271000547334
A9,images/image_6.jpg,left,0.7721718000248075
A9,images/image_7.jpg,,1.0
A9,images/image_8.jpg,,1.0
A9,images/image_9.jpg,up,0.4469141999725252
A9,images/image_10.jpg,left,0.7109772999538109
A9,images/image_6.jpg,up,1.4701623999280855
A9,images/image_7.jpg,up,0.9258203000063076
A9,images/image_8.jpg,up,0.795574999996461
A9,images/image_9.jpg,up,0.5623076000483707
A9,images/image_10.jpg,left,0.6244462999748066
A9,images/image_11.jpg,left,0.7731590999756008
A9,images/image_12.jpg,left,0.3222613000543788
A9,images/image_13.jpg,left,0.6389716999838129
A9,images/image_14.jpg,left,0.8221018000040203
A9,images/image_15.jpg,up,0.6375319000799209
A9,images/image_11.jpg,up,1.023511900100857
A9,images/image_12.jpg,left,1.3825905000558123
A9,images/image_13.jpg,left,0.7574106999672949
A9,images/image_14.jpg,left,0.8183021999429911
A9,images/image_15.jpg,up,1.6192986000096423
A9,images/image_16.jpg,,1.0
A9,images/image_17.jpg,left,0.6358295000391081
